,Drift Rate Speed,Drift Rate Accuracy,Self-excitation Speed,Self-excitation Accuracy,Boundary Separation,Non-decision Time Speed,Non-decision Time Accuracy,BIC,Frequency,Participant
0,2.526959065317291,3.340515241171381,10.409182463314183,0.2143286648389678,0.659091983167932,0.32620900982723633,0.36523236010534765,-223.5674670977035,2,4
0,1.65092725095549,2.150506283266649,6.405638173228555,-3.616644243249697,0.5066012106462328,0.3398403507916317,0.3635141808706127,-89.22186573424695,3,4
0,4.111913497301456,3.0294909657615836,13.320651049595506,3.3278922348748954,1.2196575264297542,0.32430241718676656,0.29603699531822536,-236.28517237150615,4,4
0,3.6389017840020768,2.5359197210761795,6.349078212465444,-2.0990685702509584,0.5445558162308233,0.33094667742928463,0.3679036166086417,-204.52126732531158,5,4
0,3.4209646480123124,2.2355877425302184,10.344220882572264,3.164570614091934,0.7223381844912531,0.31943082756775915,0.3498234889171072,-194.36468324325048,6,4
0,4.340007791357402,4.74515513350796,11.160665086274777,-6.521705066977131,0.6576037821907854,0.32169553825235897,0.38208485137867076,-296.9395589579949,1,5
0,4.415375694661242,2.8341126085853436,14.04570481780423,7.830348420896713,2.025014388446882,0.30456476922594394,0.3677381113704494,-226.72944825993886,2,5
0,2.4950435827059256,3.442772877860922,13.456323192797358,7.069719789530723,2.9463749472460936,0.2700511889218425,0.3403982466418202,-185.80903723902986,3,5
0,5.0286833771470265,3.378771866474414,7.089406244769087,4.517750531357421,1.180844016392228,0.3254522367354266,0.4000408559101867,-269.2784197534197,4,5
0,4.734593819104556,2.5077588179267787,15.0,2.8823141038503954,0.839038153459331,0.36695417151015614,0.4512289055268971,-226.7995455096056,5,5
0,3.5923268438684777,2.7938610894658744,14.353002133249943,5.412625298597352,1.6171434104608007,0.30373756164735444,0.3621194826223231,-209.73740086886443,6,5
0,2.4782743454790848,3.0468513137772137,9.861069774339523,5.411776296983403,0.9333853353810064,0.2684121316598476,0.3554437610228407,-197.85681158029655,1,6
0,1.5020959464082226,2.5021284668793897,11.45209581407044,6.533535493347168,3.2884853381199735,0.16494682367199187,0.2622825291333196,-87.68958080444386,2,6
0,0.4841251546166902,1.619021449842329,7.279310614419366,4.970088682879925,0.9989941879778481,0.20614635634114487,0.39203071657189115,21.49704417419604,3,6
0,0.9146276982475429,2.8077811230578864,10.317098927200593,4.962877191332913,5.141586647426742,0.10866119930271184,0.16214693367996086,-52.42739797226897,4,6
0,0.8799991291376535,2.469008951674398,8.509401068609947,4.187079098083213,1.0844241997392108,0.24020759073400116,0.3686397736961368,-48.46575441699406,5,6
0,0.6450100075987482,2.6661894807608046,7.3021052155347395,5.3290235179935,2.0326253056629513,0.12013632982487837,0.27824330689165283,-42.31184050226461,6,6
0,0.23028996276789715,2.1621608307340554,8.198601334642788,6.31456435762782,2.0809334771529056,0.11351113208561625,0.1947943471988161,-23.224182772981763,1,7
0,0.0,1.5026726667249997,8.54048557517399,5.0256335166026265,0.8964689779257231,0.2225705984355686,0.30106702949162234,0.6318167047444163,2,7
0,0.0,0.6952818512867671,10.427445856246441,6.028638648818957,4.100376778574862,0.10014783249944964,0.10254552507414699,68.27383697062182,3,7
0,1.912889833175868,1.6769338827719076,8.372317836083107,3.4599460848352304,1.203114958303357,0.21868094579846548,0.2656378854822516,-13.196762844743162,4,7
0,2.453658709670444,1.5332479434362258,8.098100925376862,4.966653571853175,1.2065184707445846,0.21788060436389672,0.29996854238395104,-47.6498764968546,5,7
0,2.006894234378953,1.9371127058819686,7.312236340314716,4.030804905132592,0.9502903035380044,0.2318566958131434,0.31332182043281726,-58.93294655836922,6,7
0,0.6102754381406347,2.1732293970400995,6.430622512606108,2.1968787572022705,1.798603472811698,0.11113531124982795,0.2763838805068056,65.40149451973187,1,8
0,0.0,0.9429422143878085,6.5718032866770235,2.2216535446208776,1.8685013834242072,0.10855908289036731,0.25184911550619643,206.18196883436468,2,8
0,0.0,0.39939194289521757,6.142588311888172,2.307425624311177,1.9809315251937711,0.10638836139624719,0.15847817963728217,256.93460039601774,3,8
0,0.4883454762913767,1.0704054159240568,5.77521329188356,1.3222715434605168,1.5982931498685722,0.1146539335476805,0.19153314470961047,232.19520173902305,4,8
0,0.37713440426919465,1.3519895996900329,6.822596216030737,1.5680902374348167,2.1790650622998755,0.10420361320032573,0.10333580350242977,168.8472449913876,5,8
0,0.13890242504261474,1.2800526045780476,6.374713458456232,1.2222960279433397,1.7474015437280306,0.1347363957127342,0.10353820560588989,195.33019208419614,6,8
0,4.467487959982963,2.857765618671191,14.990291685273416,4.029768166383281,1.2044395780230173,0.36916808053738437,0.3610271674202221,-257.28678065477357,1,9
0,1.9350902318986132,1.9327652363431898,14.40895377598868,2.326439065488408,1.4957162381845528,0.3459590549682042,0.3084395827423121,-26.541130681852238,2,9
0,0.989306681551548,1.36072077196057,12.564049813283065,2.694611900628594,1.1444451916932699,0.3683244047199376,0.36048715916813157,35.57892091500157,3,9
0,3.2796689427633603,2.3959995765592184,0.6263609033573493,-7.442372404186316,0.5198201225616081,0.3876346821776194,0.4408821914636549,-116.43783196769769,4,9
0,3.441025674271612,1.9140384667105135,11.901733175199919,3.2420689172306236,2.5609746290098414,0.3136706653458732,0.17182095600022224,-77.09887016561319,5,9
0,3.265396870927253,3.0664662342532423,5.706208470417818,-10.25695753039925,0.501261845638715,0.4020657251772488,0.44027227327407825,-160.15242244131338,6,9
0,2.8252291860663377,3.924691973913492,8.28941838693372,1.3484618654227003,0.6815424265250916,0.29591019091847226,0.3698608550111343,-543.4480340405632,1,10
0,1.4395375788266624,2.593462547930941,9.802604010725716,3.9727360873041615,1.337151195016241,0.25224549670460106,0.30562288857087727,-237.50804967856146,2,10
0,0.5857969425766051,1.9209030392780808,8.484237139947139,4.273077354292397,0.8718169330318917,0.26341284103092205,0.365134275269927,-69.69892115942304,3,10
0,2.175357054504716,2.428335563955678,4.610382532532946,-0.7989840458206452,0.652368316401609,0.27411374680652517,0.36741635967105163,-219.87238090702004,4,10
0,2.571916583719296,2.5602169075653713,8.989650509778878,3.1951318117876886,1.5664541707480433,0.23403043927365574,0.2809168243035585,-237.02655907070167,5,10
0,2.5785842587513073,2.755236467215902,5.188313222179699,0.6147353684839776,0.7888821425602908,0.2688044686554413,0.3511169111168952,-290.17600866531535,6,10
0,3.738955495166429,4.122861181539841,12.39949785723888,5.721944122194171,0.8954050650500909,0.3325177044479732,0.36770315384285124,-643.5775794227468,1,11
0,1.1490667575529236,2.459615667315003,9.650957035119562,5.208026477008455,0.7703214246498074,0.333620564196443,0.3910814843544444,-254.2241050947709,2,11
0,0.8395363611087132,1.5343922980092253,12.068095373732149,5.067496877778993,1.0450383887371846,0.3119428902936716,0.3508865132010571,-79.37645110931008,3,11
0,1.3610321471353815,2.572523109118467,11.083176147092674,4.977297210355579,1.4410469976611648,0.3043667399980466,0.33622469831139584,-205.44601075232617,4,11
