,Drift Rate,Boundary Separation Speed,Boundary Separation Accuracy,Non-decision Time Speed,Non-decision Time Accuracy,BIC,Frequency,Participant
0,2.686202994120555,0.5812769477527041,0.8441873808783986,0.2711625902565347,0.3367231297705251,-290.96085946614,6,10
0,3.7903520685305483,0.532580550005858,0.6554489483224738,0.3329396195654375,0.36294117980928153,-623.2126189402853,1,11
0,1.780352923629654,0.5,0.5572946246884667,0.3416049449647487,0.3980155495856331,-206.09322488742305,2,11
0,1.1121672350675968,0.5,0.6114622055311885,0.32916769085311126,0.3794595640683185,-15.109097536641162,3,11
0,2.013941902986715,0.5226037848477565,0.7785703919407184,0.33302414513089296,0.33689181660929746,-154.8091304942067,4,11
0,2.4441635701549362,0.5185730574745304,0.7396539777807991,0.3338849290537253,0.3826851987031099,-279.94701630730526,5,11
0,2.38573985367134,0.5281936604043094,0.7165228939527077,0.3480483365256805,0.37931113979485936,-277.83442712364155,6,11
0,2.338799712344502,0.7788635080434181,0.7564671382116264,0.20310280735423702,0.3004389268721837,-155.99393526143695,1,12
0,1.3236537500396965,0.5267471783199975,0.7224081778513687,0.31824893154469613,0.3428842780728211,65.11889727973993,2,12
0,0.6910914608634624,0.5366938775801434,0.7243641965755679,0.2735641950107717,0.3116056085658021,248.8648563938059,3,12
0,1.478179296921108,0.8113866173416784,0.7546921932268665,0.1745278800432593,0.31747998167769326,177.2914631575727,4,12
0,1.638602154749025,0.5292507097963298,0.8163380825809262,0.32247036790191996,0.32802866045835066,97.09943789569357,5,12
0,1.5411241924925976,0.697779257359331,0.8951088932600859,0.24137035593031914,0.2555912074013684,141.61434812214253,6,12
0,1.9392350092640882,0.5926724694575032,0.8129475652967628,0.30192533718012676,0.3447079346751941,-76.34808657611185,1,13
0,1.547825671409934,0.5487055643599815,0.766371659195577,0.336801417727294,0.3928923166524364,25.729231486494378,2,13
0,0.6967452436680109,0.5348683232220693,0.768762547715407,0.3326328066951375,0.3472701823068861,276.5083436923774,3,13
0,1.4982961213812223,0.5749994117300925,0.8696064137817799,0.3240694380174255,0.3553797578165311,96.5885266899142,4,13
0,1.6533714114694442,0.5997315768101874,0.8545721576241213,0.3278648606368044,0.3877667599158445,50.50252257652295,5,13
0,1.552612942314564,0.632742012942312,0.7889638027801245,0.3055948189889962,0.3629130141738206,86.68409298555754,6,13
0,2.833681738398648,0.6598256787295285,0.8619526190507643,0.2751440222389231,0.347631361991012,-306.3271772609181,1,14
0,1.7862768935663798,0.5604049121795238,0.8631894327302615,0.31672722708512013,0.3667520229717635,-15.9833288793102,2,14
0,1.1922067793330529,0.510392964857955,0.8995705654016473,0.34642286819453855,0.32132233193471027,175.2440739090092,3,14
0,2.177962585063854,0.6112146040003691,0.9284223900589631,0.3685505996350034,0.4368311312402648,-116.81508939909125,4,14
0,1.589998007707422,0.646451471660873,1.5477778751936855,0.29761426748622516,0.11268410653068278,221.0330660035999,5,14
0,1.7472900278770818,0.5780690040810775,1.09151325070387,0.3362024354100994,0.3871339542144878,47.30315527933627,6,14
0,2.4081565986597506,0.5683824486244081,1.0167781360826438,0.32876727475783385,0.34793024035658215,-189.2899167994965,1,15
0,1.8645509400388016,0.6374775950836997,0.909585690592517,0.2915012322936371,0.40329535952061424,1.5661892513658664,2,15
0,1.032248651493854,0.5338217473868472,0.8041730170266019,0.31539172530709014,0.4430615415339802,195.7485917364258,3,15
0,2.1034152466984146,0.546018645662119,1.0054110233485438,0.3483136155924862,0.42201448790258195,-105.23645015241391,4,15
0,1.7810384911772563,0.6070223488228459,1.0283464516434053,0.30665501661365946,0.3851672623332286,40.03460482946108,5,15
0,2.070129283815062,0.5763356972394561,0.8393823577061253,0.3324281418778896,0.4476792252739297,-115.00578108491155,6,15
0,1.9476221371702587,0.598542837688086,0.6689706350706971,0.2514073440928844,0.39296669919969746,-116.50425460880359,1,16
0,1.467357136854223,0.656533330852936,0.745301208316502,0.22110183130903371,0.41684665892899864,121.98461725686758,2,16
0,0.9876555062082535,0.6311405113707671,0.7966328362200067,0.22972412887650245,0.3766071649578653,300.9428451033742,3,16
0,1.493962433448225,0.6757723688253116,0.7882822163272372,0.21031747790110966,0.40395829317031334,118.58692172030298,4,16
0,1.3182344135987472,0.6427162354387109,0.814335473300465,0.22622799060931886,0.38326056382991713,195.56801075705195,5,16
0,1.3873195677764045,0.7467965919820388,0.7490454142304163,0.19143299964062693,0.38655565185414403,178.51265274763068,6,16
0,3.140012692787199,0.6251882383633945,1.15595908978179,0.3256505691980952,0.33998177318334977,-329.03505604398157,1,17
