,Drift Rate,Self-excitation,Boundary Separation Speed,Boundary Separation Accuracy,Non-decision Time Speed,Non-decision Time Accuracy,BIC,Frequency,Participant
0,2.925219325023364,7.079970182106923,0.6431073964414913,3.1438755471046327,0.34259947053795425,0.3206196132134381,-188.58629649202484,3,5
0,3.80806284382598,5.443528171469417,0.6658881357642161,2.5976320890945677,0.34615994373946435,0.32437647229678424,-270.82138075055576,4,5
0,3.4162151450516047,6.331649516369523,0.5015060327635079,3.053481332482559,0.37362940798120914,0.3543055618886013,-216.74590471025886,5,5
0,3.0693351473212163,6.159967952039283,0.8108147017832077,1.8318377361937626,0.3064976916899013,0.3693385405978591,-201.8994775445668,6,5
0,2.9374172582473914,10.499060862969127,1.438162155503021,3.8630797595510553,0.24383385968876148,0.2738123780978563,-191.56368961747424,1,6
0,1.9331471855247275,7.717421345773318,1.5502552423274316,1.1723701315229813,0.18549563147521997,0.3901492695171133,-78.02913959570604,2,6
0,1.0630503701638374,5.984547031206119,1.0162839875059744,0.8553801669025107,0.19868428418235567,0.41765732595859983,29.003423560744388,3,6
0,1.8108390052071854,5.1756303489190065,0.866253896744976,1.8368483379549294,0.21721036972300395,0.3023616152556555,-25.480562131989807,4,6
0,1.752096334534536,3.612023741870752,0.5698313818532257,0.8123995876611616,0.2878461182343865,0.3833919956792702,-36.767689885339685,5,6
0,1.6711276437555664,5.44694313591858,1.2122648569208176,1.1127937368491456,0.16255929505875533,0.3378805590496623,-21.402656773995375,6,6
0,1.0982716915657342,7.971269228428841,2.287970621870232,3.0035287770000436,0.10127669257289373,0.16207702740192004,-2.949339807461236,1,7
0,0.756692658999888,6.428364732371735,0.6204147177702297,1.209815851352246,0.24691090254797088,0.27340175395637933,17.994496378008577,2,7
0,0.1316109982456254,7.315077141971142,2.0303666974693053,5.990776402076413,0.10620440237220624,0.1085085872301777,76.83214945561949,3,7
0,1.7540677905056854,3.5859144120252004,0.6145237785229432,1.3196705651521334,0.24416489803106833,0.2512019547623736,-14.988198141460472,4,7
0,1.893361239814279,5.647600358704272,0.8248770953177291,1.3606265515515452,0.2254751465766202,0.2971622294103833,-44.12028586671952,5,7
0,1.9528366530529842,4.65524462456274,0.7150147525713542,1.0057077204007276,0.2437682571844243,0.31686096803814745,-61.49992895059336,6,7
0,1.4783287412809627,2.521487201591325,0.8042585724670404,1.1774088227747628,0.16003732102667695,0.36837586228058994,97.59586690115482,1,8
0,0.7009170231261869,2.524137466804296,0.7017390545403548,2.333221153521332,0.17053941782660886,0.19103690535504264,223.19162486518317,2,8
0,0.26551497391449547,2.7040804851857456,0.7671106077441574,2.6880842901383346,0.17265532925795668,0.10799341477256141,273.06627932552925,3,8
0,0.9382330049141162,1.4404117433718253,0.6408263104515406,1.602235213144878,0.194789229474239,0.19114451538949728,244.22552725167012,4,8
0,1.0875774589229381,1.7119819976537567,0.6260229474424945,2.1224814941130274,0.20072223976413545,0.10357215284422444,193.42884023780945,5,8
0,1.0502006489065583,1.2875948972859417,0.6079404318116746,1.6739430952210292,0.22439886153997946,0.10870815808390816,210.02995783564947,6,8
0,3.40207231057605,4.323821683221723,0.5007535950463997,1.616771909598421,0.38048587623664976,0.3469354749936966,-254.63587551049736,1,9
0,2.023674858502742,2.6798253428357492,0.5054023374798469,1.6726959237591719,0.3827243092631947,0.2927286607776295,-25.87838177474592,2,9
0,1.2231209549752704,3.153726005828838,0.5064841097011841,1.2289230014682513,0.393160520878881,0.3567608821147431,47.82596130647136,3,9
0,2.460591866870296,0.12519565820078152,0.501577078947979,0.7947782320971593,0.3739239930124918,0.42513164888563953,-113.87521774809666,4,9
0,2.3700099992991044,3.881165898383672,0.5010943257467386,4.165144487170196,0.39144869950502503,0.13597111856442723,-84.34407822765243,5,9
0,2.774314382585729,3.239963264428812,0.5014039984825427,1.4834291089670137,0.3953703982457599,0.3570912065756964,-159.29415773097566,6,9
0,3.337394752312566,5.312598355977603,0.6203555305313655,0.8651177968166501,0.29975766647475793,0.359490615037406,-540.3518561117347,1,10
0,2.084583585275594,4.190353417906642,0.6997823658973945,1.1376119231029564,0.27047177756843094,0.32423019683337695,-214.75232034968352,2,10
0,1.3105119463485195,5.258690226367157,0.5996436176694666,0.9513073844309456,0.28842300848036184,0.35337796970270163,-51.96653939123584,3,10
0,2.365967760241252,3.3146789730731716,0.6217780655461054,1.066501887126511,0.2762769196415847,0.3211761906135395,-225.00639993072897,4,10
0,2.5363448168316785,3.0892034062910634,0.6515177914995394,1.4855073260977976,0.272733523177948,0.2821914791848106,-237.1131234841747,5,10
0,2.685167857591853,2.6106184515024764,0.5928167824172141,0.9740797770926202,0.28821567139160575,0.34899486483742026,-300.5961812142659,6,10
0,3.900179051026751,8.19864150085566,0.7422535348691528,1.1182286242841237,0.33276692468270663,0.35554045790286753,-642.4376287493083,1,11
0,1.7926641724145962,7.417380080465978,0.6264220079151603,0.9322585713131302,0.3427943995984689,0.38187974577439143,-237.815917721561,2,11
0,1.2440123980592297,5.758790754713877,0.543433457550234,1.1719386165105874,0.3383227294314385,0.3442977897446813,-64.30534340958422,3,11
0,2.0871107289554605,5.346831348972692,0.6154011856533725,1.4810566263664888,0.3419516205925556,0.32156536053040163,-209.7881728394728,4,11
0,2.4525308436601794,4.203461228829214,0.625729936424595,0.991544809442721,0.33279535102401386,0.38769359668401654,-304.96065821796674,5,11
0,2.414219303918821,3.575142222050541,0.5434074704507439,0.9114592160919144,0.3594513740593456,0.3754815784787545,-291.0230268422,6,11
0,2.3317176704928055,4.412680791515781,1.1948474061199015,1.114029146097129,0.21818162018027032,0.29438336456178943,-204.04784561798974,1,12
0,1.365989900631585,3.2960110652826735,0.5852069246670806,1.10814930836667,0.32856606598275667,0.3155351652851372,49.17327444124056,2,12
0,0.6880008618893101,2.8113614033958005,0.604470225765152,0.9827345457632717,0.2846334105725383,0.29481351963095037,231.9864530368905,3,12
0,1.5795753842161846,3.6726290315726366,1.4112602285971216,1.5815606625283656,0.17392579589881174,0.23353114393745406,123.74101347586776,4,12
0,1.6165573285412176,3.737636976594192,1.2914483899189402,1.437320127614252,0.18872310298497946,0.27061580278842146,94.5754773505381,5,12
0,1.6951041558729485,3.43391844837737,0.9825007916228601,2.614106938031724,0.2523796130250842,0.128731851356565,85.25465044902303,6,12
0,2.0799977124926428,2.9297793773779888,0.6603610969789946,1.3433079559125543,0.3175296654818151,0.28823731929600355,-90.01873648449697,1,13
0,1.5618432438858576,2.529817480945166,0.5818297815425786,0.986392803940646,0.3450351462421618,0.38379777915760316,8.771387049978728,2,13
0,0.7504259651158777,3.0349845877977395,0.60942064967759,1.2278207105855654,0.3422670389179396,0.31073410163781734,250.39074969492455,3,13
0,1.5402566361944616,2.0034757943938346,0.614933765187049,1.1595997644410159,0.33598334781363665,0.3280842624538801,86.76569041699571,4,13
0,1.706867598589985,2.202763934918984,0.6452321122373674,1.1796064561797217,0.33164662289591407,0.3535531121189095,41.3510492258606,5,13
0,1.5116137298703587,2.6362988886424885,0.983090700852435,1.0822954848467439,0.26061443191884726,0.33799500095004753,97.25362533090055,6,13
0,2.75155448509327,2.705447725182907,0.6979966670861062,1.954648460906159,0.28614227839668455,0.20461832612339603,-308.1891117350824,1,14
0,1.9207388940705485,2.660772740787791,0.604932931537959,1.3899269062058992,0.3282562319418988,0.3191252979966557,-28.2693477697089,2,14
0,1.3786617201476705,2.443324249496455,0.5648114296824485,1.877720071329082,0.3485674852970332,0.20537135861122668,154.9995777584914,3,14
0,2.1567403075919453,-3.2631034288672662,0.5450221936533248,0.6632304260321829,0.3792965048332264,0.47816215206168355,-104.0208799091373,4,14
0,1.5648056086022932,1.3853084299664156,0.6790187121645355,2.289035709978945,0.30530987136036236,0.10009542240888514,191.64872055643207,5,14
0,1.9596776805678464,-2.3723180140241915,0.5058311466112682,0.8238303176519448,0.3425099973114649,0.4363906677302003,42.93480183785284,6,14
0,2.376209804123404,1.876150714337377,0.565154485128232,1.2222356046297,0.3382216431258803,0.3488083256375606,-199.6190044953068,1,15
0,1.9701180749303222,3.0400530251443576,0.7716578657741988,1.7724575232152802,0.3058568381992906,0.3303597137611012,-32.604704463108185,2,15
