,Drift Rate Speed,Drift Rate Accuracy,Self-excitation Speed,Self-excitation Accuracy,Boundary Separation Speed,Boundary Separation Accuracy,Non-decision Time Speed,Non-decision Time Accuracy,BIC,Frequency,Participant
0,0.38614252512557534,1.5710757869031589,10.038020120710144,1.7159549350695786,4.385174226656924,0.6101657200337214,0.10660900627720166,0.4379320873259019,16.659231637411118,3,6
0,0.9286517049036391,2.6753034106530094,10.678423243781099,4.296715618651867,5.695974798491999,2.159958904967933,0.10265210446513418,0.2836044838607371,-48.32991923152605,4,6
0,0.7942100957275752,2.4351071559847606,10.496418949888,4.029082783550865,4.226205592464085,1.0548901411157323,0.1473452305488548,0.3606216412919163,-42.4020399450128,5,6
0,0.611278385488872,2.5739230296014544,8.931403918616738,3.3800323797059457,3.6634656922264672,0.9848100498226753,0.10512710057694452,0.34407386882148516,-42.58583051423877,6,6
0,0.20095735981613652,2.2405841925708936,8.801601333732364,4.155564650708547,2.630910023302732,0.9558183368433721,0.10604229323986303,0.26107086253501177,-23.060768481918238,1,7
0,0.0,1.5236925380142106,9.631101031043862,4.230483780224915,1.689234208281383,0.7725242422836427,0.17861681790030537,0.3115089265127888,4.748084708616538,2,7
0,0.0,0.7111733888731055,9.79535223904694,6.511353884624861,3.4729741009809483,4.95480462793478,0.10799142085171354,0.10438655114229467,72.6251092063761,3,7
0,1.8639358760383775,1.706504725856449,7.619435556701825,3.5933164038757837,0.9879380724248854,1.2921073633083355,0.2203137481864476,0.25204591908506724,-8.565918090818307,4,7
0,2.52936522705381,1.5156480261894978,9.63294363504925,4.716572548653129,2.2979854973453993,1.0321324569508028,0.17419487409303563,0.3128341293819421,-43.60241127122785,5,7
0,1.9950267475003067,1.9145329584122055,7.157513629904295,3.431615959554876,0.9377690630351343,0.8482542854400843,0.23896673827503667,0.3240255579988661,-54.04199556329863,6,7
0,0.6096175165945458,2.085848928006745,6.956327001012931,1.9888671057812397,2.211294535082909,1.4243948426809785,0.10278785127746837,0.32624349749678516,68.60662821952107,1,8
0,0.0,0.917769240936844,5.8988585572222245,2.08167182572632,1.5560881804421325,1.8240080739651714,0.1096235728382064,0.23327781323869545,212.0935434418269,2,8
0,0.0,0.39842981177947284,6.1253802431340745,2.4255445022552986,1.978542066793344,2.2155488000693087,0.10523826094684369,0.13157799580159624,261.9457241763488,3,8
0,0.4867617479817376,1.064323057684605,6.490626730409104,1.1500603912018266,2.0520296791408033,1.411351389069071,0.10932942566409215,0.23443194990326505,237.27394991972847,4,8
0,0.37860372803849573,1.340241139423916,7.8409086867794455,1.5061692546689274,2.890255860104567,2.1028843868514873,0.10281174336448473,0.10822657939717639,173.60284877559184,5,8
0,0.14413648015458272,1.2800666837373413,6.263597709174208,1.2222574354519278,1.6913274174222157,1.7466822042917287,0.13443121408993758,0.1086302553411948,200.4470702373083,6,8
0,4.175590722394502,2.847209981896266,9.656621280104554,3.9716378480017354,0.6087538196733022,1.2679372978147527,0.3850570963037951,0.35199914814063626,-253.75644225527742,1,9
0,1.9199021609898403,1.9678278162290581,10.409174329773428,2.3955296550470937,0.6077925189508573,1.5874640988469657,0.3895299398137248,0.2974252141320186,-25.123638631496732,2,9
0,1.0198164140268065,1.33894678204071,13.412897789937675,2.5314668404601504,1.4614596269052293,1.0751678416863926,0.35941451682938585,0.3740558091980908,40.52171874710844,3,9
0,3.284305253165609,2.1840800512150382,0.09138739797287325,-1.8664919991824516,0.5097834632985161,0.6522570642258825,0.38315378535995903,0.43164137563692884,-112.2928291515519,4,9
0,3.174884801058719,1.9628640847846914,3.6701491970546383,3.5391190948974365,0.5209687253767488,3.5188200359830715,0.39448505477966367,0.1244710254003435,-81.91021783759481,5,9
0,3.2653985427931036,2.5118488968380386,5.706196759402748,2.936966097728545,0.5013412931044217,1.3060047736685703,0.40085596890798714,0.36069715234810584,-153.81731995152643,6,9
0,2.738932577609775,4.370805293667507,6.369050791925685,5.347076386404954,0.6255987078211764,1.2446620764041527,0.2960836393069427,0.3309001863212998,-541.7521809617715,1,10
0,1.3876858578811577,2.7016909167213026,9.826045633938978,3.9760956733547106,1.4907865217323741,1.4131885720397863,0.24459167964964773,0.2925636887400098,-232.23893797028435,2,10
0,0.6164102858902896,1.9596294560081313,7.605287167493049,4.85359863189025,0.7369810364312737,1.0050853251863106,0.27953775720754565,0.35791324407428116,-65.40923872715058,3,10
0,2.2278823966572965,2.4674138580431983,4.974650626686881,2.8897616117442078,0.6827345598342998,0.9832376542773273,0.271974590797239,0.33806284670425735,-215.17019256300875,4,10
0,2.7097421281690544,2.4979658310266415,11.197086785800295,2.972644011445047,5.105750177903134,1.4740552719480855,0.1679306048862968,0.28170931428272256,-234.37392266171045,5,10
0,2.5835547191454538,2.783681725710906,2.223665662486791,2.990917903886117,0.570852698284634,1.0970789183399843,0.28116546808482273,0.33761749749779146,-289.5903506874887,6,10
0,3.7641268185302303,4.096548856248871,12.81759264181225,4.630069974792412,0.9210304212850762,0.750044677142097,0.330764966234499,0.3761721911382892,-638.3399746356573,1,11
0,1.1321743661185515,2.4854757458956414,10.092606068696817,5.574944836136418,0.8926393238455854,0.8002971656155737,0.32298957614648693,0.39586807281849234,-248.82278352351005,2,11
0,0.8416834588467831,1.5456522586829764,11.651150003876522,5.157549665619029,0.8862280799445617,1.128332264410337,0.3221751694731184,0.3435079782534521,-73.91152456944185,3,11
0,1.545828420742277,2.5816872010582634,7.4665114807311825,5.175767646767855,0.6778200026740131,1.7020490272961055,0.34769217552673304,0.3175459797476132,-210.40126104639074,4,11
0,2.166056841274105,2.774009149769109,8.281847502861877,2.721052924904833,0.752181986464902,0.9440071092605753,0.33479043855874585,0.3807149736459974,-305.68311523943805,5,11
0,2.4401941020786495,2.3936835194951325,6.642145102981144,1.7591303727270888,0.6359671305917542,0.7496675226936245,0.3571208210551938,0.38668870917380405,-282.7822330170643,6,11
0,2.2929873105135385,2.373307072852491,10.24014322343241,2.3426366276000965,5.632052614940235,0.8871812975600308,0.1533285194161942,0.3024945631766848,-220.58495943320142,1,12
0,1.3601497672943768,1.2584165567403143,11.025077400592414,2.908815273530509,5.82384321430863,1.0067984304713526,0.18189973426035433,0.3278195983860122,52.43491018935599,2,12
