,Drift Rate,Self-excitation Speed,Self-excitation Accuracy,Boundary Separation,Non-decision Time Speed,Non-decision Time Accuracy,Participant,BIC,Frequency
0,1.1249638282090095,9.957007040806921,2.5622111552089146,1.5207610648169103,0.29342548295263765,0.3434242896902988,16,130.0733636356631,3
0,2.048276982308715,8.119229799225474,0.7435991807111164,0.9810499830508652,0.33152800709801916,0.44290314390494806,16,-121.20922181309393,4
0,1.808731437418692,8.02839092594668,1.5286775439045674,1.3552145849932842,0.29261060438298003,0.3576985881870923,16,-7.69178633576027,5
0,2.1791601409127135,7.852765709158538,1.1924628998119582,0.9997582029082466,0.33328294238118394,0.42656750376993874,16,-149.3461974891327,6
0,1.9166683809207736,7.0525071520075695,2.828154485967671,1.043386273669372,0.2574588738978063,0.3415339897005635,17,-130.8123737986313,1
0,1.4817775332404615,3.8901338463969117,1.976205313312828,0.8908485061689846,0.22096929874204624,0.40531511700853384,17,104.21365415093915,2
0,0.9847393228539805,4.962869050311351,2.778381271196753,1.2685118857701099,0.18873358610773644,0.3325459406542702,17,267.1773489065886,3
0,1.562255293242086,5.885018274675898,2.8980476135894904,1.3098249322999664,0.21014503504256982,0.35429771410602295,17,59.33912627111436,4
0,1.420244331051587,5.529650270082502,2.246514304323425,1.2785842009941844,0.20248576409773827,0.32143094007370154,17,155.1274374320478,5
0,1.4669223389436037,3.8366101495125755,2.76365044266689,1.0830680165187498,0.2096182360791356,0.3597198146786272,17,147.4169218864377,6
0,3.15324901362336,5.138279022605084,1.627946823599337,1.3563388362195656,0.2698702936239893,0.3388210210242497,18,-324.64585469038036,1
0,2.5355965667291485,7.647598269270622,2.278991742245418,1.4338466974714104,0.3080392076430344,0.35447335543754743,18,-220.77866754387753,2
0,1.8761958657302877,7.105799242759249,3.2089401116553984,1.3525925459905364,0.2873821958677838,0.3805131260347445,18,-21.897283326955588,3
0,2.3270856073440753,4.912831767267222,1.8926278520574777,1.1497809603528433,0.29435958420211744,0.41798864752384923,18,-146.91601805900578,4
0,2.316568038243421,5.8073797864734935,2.268147052669051,1.2597607114571838,0.3073146841100798,0.3955780990244784,18,-154.2091236674628,5
0,2.233369943100535,5.320087673935729,2.6115776826914456,2.1030422009721135,0.21607534866464573,0.27541945055672096,18,-76.30528910738059,6
