,Drift Rate Speed,Drift Rate Accuracy,Self-excitation,Boundary Separation Speed,Bacc,Non-decision Time Speed,Non-decision Time Accuracy,Participant,BIC,Frequency
0,2.5847990487399555,3.2626883292345696,8.24430434845379,0.5246611843502462,4.552290013178165,0.3311505578596126,0.22510397235147134,5,-214.26938753103485,2
0,1.6616885337350564,2.076303447181497,6.512044146582778,0.505875356191678,5.500109036911376,0.3352344622916644,0.1318827895236404,5,-87.9443890840707,3
0,3.9472657672523868,3.378063097214712,4.848370403766129,0.5050705635085855,3.8843668803704214,0.3541263710722493,0.1571729714771491,5,-237.91858908474174,4
0,3.7941005387297575,2.4033218983880027,2.686071632161318,0.5083278306925876,0.7456117766887242,0.33116485724866007,0.3448964015683963,5,-202.3156788807438,5
0,3.4156736317092253,2.4140480356702385,5.2889689250831005,0.5140191175918729,1.0816392806046187,0.32061689805225624,0.3195287965640771,5,-198.28439052868458,6
0,4.293557538747521,3.962371461411675,4.32423491610498,0.5049525490740372,5.225410927275089,0.3216068844211517,0.13808036281811287,6,-291.9499562017542,1
0,3.9244472718614736,2.8733783347599537,8.298699547660725,0.6690150074970629,5.013787784724629,0.342330330414575,0.2737941454471414,6,-224.76673309837366,2
0,2.3523727390947062,3.4016130758090015,7.0592156130002985,0.6873490373046578,2.8802527462802123,0.3363399242320571,0.34169477951741845,6,-187.77958671424818,3
0,4.7232080539750365,3.660017293578634,6.700957219496839,1.0557216161386842,3.4125704057702637,0.3252350632610462,0.3153519299444104,6,-267.1292741785563,4
0,4.769729585510908,2.6832251756409855,4.838249665445114,0.5012246654922321,1.2554217255764324,0.3719924867943576,0.4216459991108485,6,-224.0662048395924,5
0,3.592573479223868,3.023881843214228,7.722494418670779,0.9614663586501933,6.727856623156332,0.3006367929948759,0.24012699423792155,6,-195.54214456788273,6
0,2.530605088237855,3.2208887875513548,9.310634412433668,1.0531225818287449,3.631043625585799,0.2513409251402181,0.2636349725189214,7,-190.34218310942464,1
0,1.3664890740581777,2.4809457845670195,7.405796932228235,1.4995770096538577,1.214386135952569,0.176499946195524,0.3954543051293954,7,-80.250973211017,2
0,0.5239049929315507,1.5953635360615883,5.991267679655256,0.9802547499252778,0.899310234920299,0.1987665861516651,0.4119485251035468,7,25.361459243341614,3
0,0.9769446522002209,2.8289052476070724,5.940924924732199,1.0244333340316478,6.852173820368569,0.19518576964858758,0.1685891973271212,7,-40.421147102076254,4
0,1.0052311251148969,2.4819487502404143,4.482884081185563,0.5990788782289278,1.100784144639551,0.2762836056594431,0.3697783088542398,7,-45.319912193291415,5
0,0.6811304341585128,2.6667124246820677,6.335892062600575,1.9792545618151451,1.87528619106177,0.10683369762102496,0.30057967202978214,7,-39.36760285426322,6
0,0.2129014626906192,2.2764603091702154,8.513155871963354,2.4761677811436247,7.529965930588844,0.10852451883647213,0.10860237182461963,8,-22.506089148118555,1
0,0.0,1.3904785056116054,8.328730552634049,0.9719710412194873,7.997363645489118,0.21964403193776383,0.1034786339559165,8,5.0978682043451435,2
0,0.0,0.732921118249067,7.711689654983661,2.1871723988215876,7.641939455556278,0.10771183864324585,0.10814170928725786,8,71.61024524996292,3
0,1.8505664869439546,1.7139276805398964,3.5858392419286766,0.6140748334582806,1.28955787235908,0.24469539114902167,0.25675044763705324,8,-10.080125168907955,4
0,2.4438288645063544,1.5501906549293756,5.456856196091388,0.8684192164528901,1.2674902418543352,0.2256285903999865,0.2988246399227728,8,-43.95632737583141,5
