,Drift Rate Speed,Drift Rate Accuracy,Self-excitation Speed,Self-excitation Accuracy,Boundary Separation,Non-decision Time Speed,Non-decision Time Accuracy,Participant,BIC,Frequency
0,3.278244976797996,2.3958030716978542,0.6035998109841045,-7.449015125796652,0.5087227281371796,0.3851948558148939,0.44475552622071485,10,-116.44390100151779,4
0,3.403486164540237,1.9104974840095876,10.0,3.1916275882120533,2.3256506470560665,0.3083521290522123,0.1900702860435204,10,-76.41058326586844,5
0,3.2726712586314775,3.0296268091179734,6.125930778970159,-9.52532735070255,0.5091833082121955,0.40547047784526513,0.447205761281668,10,-160.01522987879133,6
0,2.7997825542663533,3.851131068702374,8.268889093204832,2.4247675968676186,0.7096263101829163,0.29533051332944665,0.36531438627545354,11,-543.3148953851982,1
0,1.378685643552053,2.740302456315369,9.565711047748305,3.8487687706933427,1.3898171097738414,0.24361121371544275,0.2957127897092853,11,-237.77708590758613,2
0,0.5845032629506342,1.9271876358094,8.561713194468291,4.3488672295410655,0.8755777459659102,0.2688346161927134,0.3666932261758833,11,-69.67208848002937,3
0,2.1618044212957663,2.548769744114785,4.482163599313893,-1.353739304388607,0.6561371314704578,0.2765341883137219,0.368630850363624,11,-219.98642466194985,4
0,2.5228323955328067,2.4905003830603882,8.259369490248742,2.956311744898101,1.3956193178078218,0.23856114624090208,0.29560160498763877,11,-237.2154450681077,5
0,2.618374887848892,2.7592233990831208,5.794146807115277,1.3158772231491989,0.8295734985476653,0.2658838913537736,0.3545893389936213,11,-290.50801593642063,6
0,3.585040839461411,4.072875976276852,9.55815695588031,3.9802074465605872,0.7176211580075647,0.3397740704420021,0.37003190475912634,12,-642.6761703145154,1
0,1.153679587213977,2.47524355555398,9.872733378477133,5.4450398790218975,0.7833257625622201,0.3355047156379576,0.39682199561160114,12,-254.3411679091535,2
0,0.8314561094766609,1.5089028977267458,10.0,4.834382658564053,0.8926723805837389,0.3137229263506983,0.3766337746541044,12,-75.13830331750385,3
0,1.3697670178001908,2.5241030176355737,10.0,4.663184608608698,1.2694631706855,0.30208730294110187,0.34269847296941114,12,-205.42155860577378,4
0,2.2045077993722253,2.775709289365748,9.305549893909603,1.924637349326703,0.8215052483293164,0.3341151528364832,0.39458180080830463,12,-310.8723152125838,5
0,2.4544151413066815,2.42242776701496,7.042413389798981,0.36491874785799355,0.6477276369246652,0.35701580155665413,0.393382931051511,12,-287.6553368156606,6
0,2.130293427802579,2.4493001000531835,5.814772327573965,3.863168638146495,1.3193199914024336,0.21193980858245715,0.26557246630931397,13,-203.01091530104026,1
