,Drift Rate,Self-excitation Speed,Self-excitation Accuracy,Boundary Separation,Non-decision Time Speed,Non-decision Time Accuracy,Participant,BIC
0,1.7826112688002718,10.0,3.602602524901124,1.223666405462752,0.2777139812619245,0.3955270558048981,38,-184.91044757787688
0,1.867314103738583,8.485599585838985,2.8180775171111447,1.2810370439716303,0.2865050582674474,0.42612296306639624,39,-127.2254247504196
0,0.8177079852861882,5.818341733789764,0.5717391570630437,1.7467260333620511,0.28065796006893573,0.39910076190606525,40,426.89403593035775
0,1.5322036146889022,6.431793544343125,1.581878624649528,1.7585755185930672,0.28958980067989887,0.4175639151321077,41,184.38880778509287
0,1.246852395544215,7.305832971536725,1.132144556765632,1.3103474320391744,0.29229195187504486,0.31214080116130494,42,254.24883576603293
0,1.1130952874783362,5.172455378161223,2.4138331856794677,1.3769417527055459,0.3157865222684895,0.36974282489116583,43,368.3871175238939
0,0.7678303637131565,3.964924193323519,1.4628155515186596,1.5893276446937228,0.23701678404395138,0.34483829997889437,44,757.8062359066612
0,1.661953397741182,4.929502377948996,2.222867561582857,1.351361196131073,0.3067795261860885,0.33765040859854334,45,152.36357216852878
0,1.3078718941697625,4.085603933843547,2.1842421295786845,1.250991154332998,0.32884295663591206,0.3613021298403964,46,324.34017438741165
0,1.2808978802632287,5.2792050427281865,1.1197272514175118,2.5699618089111986,0.17781735984583463,0.3372930613938709,47,379.48773500247927
