,Drift Rate,Boundary Separation Speed,Bacc,Non-decision Time Speed,Non-decision Time Accuracy,Participant,BIC,Frequency
0,3.077968516800642,0.5,0.7387689135238577,0.369340167389661,0.4617540035347264,6,-212.01955638804787,5
0,2.750596027206973,0.5919835994701562,0.7026642547114603,0.29953639439306384,0.4252856156198098,6,-176.45841594390924,6
0,2.7433491085653743,0.5749297764199214,0.6211369085032132,0.25645992005154056,0.36169537019928966,7,-185.3908313059197,1
0,1.7255858991248343,0.5396652300941086,0.5744468754157219,0.2260985231895291,0.4288038417591534,7,-53.30945169343225,2
0,1.0805956834876933,0.5585544632179783,0.5784429083343449,0.20360823351560642,0.42223029044429444,7,45.953943380829884,3
0,1.7032478530384714,0.5473586097966061,0.6704417621961104,0.22192281512893325,0.3965509097498996,7,-10.99764482694345,4
0,1.6821127067019346,0.5098706525456725,0.6286311175978264,0.2737648899320988,0.39970750239771957,7,-32.164497062533485,5
0,1.6993373634104658,0.6620358818785342,0.6549261601791145,0.16293395840901248,0.35134479860375845,7,-0.5736099435038824,6
0,1.3572624954607497,0.5693401186750455,0.6200433783337881,0.17634819916860006,0.26278285053463873,8,22.687632585907334,1
0,0.8947029183355957,0.5000697880408556,0.544084172062484,0.24659056994324086,0.32199102529563,8,29.0036669998456,2
0,0.4630779185758971,0.5258854821311438,0.7143705381264617,0.19246630966262662,0.20944040358101867,8,161.0124865897457,3
0,1.6459031909038464,0.5455051191371427,0.7175156866202897,0.23232113780651992,0.30513452614923675,8,-1.8607754997342276,4
0,1.6737127030778778,0.5572106830374938,0.6282878172811663,0.2231625020445127,0.3421731678969635,8,-24.527286176579533,5
0,1.8720031868248137,0.5487619262946811,0.6440641068639096,0.24690776437596962,0.33776942532585597,8,-52.59945088425973,6
0,1.4050903719827128,0.6473053872211946,0.792531943276996,0.1579816504493065,0.41134209575016223,9,99.22182641946652,1
0,0.7142916399274483,0.6017989081993574,0.9650387441723906,0.16120229905926642,0.3173361718610479,9,240.3021743619132,2
0,0.3001334566819227,0.6283637922151554,0.9100252756645603,0.16879112612219555,0.2877898786649274,9,295.0412376265265,3
0,0.9176468271352938,0.6059469120410332,1.081925308484017,0.1854309084730214,0.2468155635007751,9,249.15194667398083,4
0,1.0843994478647114,0.5835433381710267,1.2496123645691761,0.19450488774074537,0.1195964664679448,9,213.34893631447815,5
0,1.0469135213934901,0.5891059085110687,1.213090988543929,0.21211351839073433,0.11584028318604972,9,219.5949477601082,6
0,3.1671519649470317,0.5,0.8360352292342461,0.3744554841503256,0.3844187493890119,10,-250.38790226370074,1
0,1.8012742320381494,0.5,0.9051238028742243,0.3703732280369849,0.3707423357500405,10,-21.558695598684388,2
0,1.1291627591829327,0.5,0.7510554767231739,0.38611746683135084,0.402438384895078,10,54.33036895453144,3
0,2.3888237752665678,0.5082048474026296,0.8539533827051847,0.374119481600656,0.4057761190642749,10,-121.46728968701316,4
0,2.085730635149423,0.5,1.1594866449456995,0.3864237371151613,0.22008497342297756,10,-51.79506267929089,5
0,2.6825663980881815,0.5,0.8764863938472812,0.39586355079981395,0.40077215555731777,10,-162.51685402454288,6
0,3.2542991056377932,0.567931017987849,0.6189608493175383,0.28634561422835125,0.36905070715172167,11,-527.7981242568306,1
0,2.0651656807782266,0.5799843215144077,0.6707493791311497,0.2623853783170946,0.35966217366782205,11,-185.17059143416293,2
0,1.2892011994825436,0.5,0.5904949305938119,0.28432095418547093,0.3757114868867052,11,-24.25856018855056,3
0,2.3150651755496323,0.5801635054312555,0.757633480584593,0.26458511419454295,0.34414076920992487,11,-216.0918719538279,4
0,2.4613004234782685,0.5899128743449078,0.9422801423938089,0.26187764305937583,0.3101543255707654,11,-213.97789301766213,5
0,2.6861912644067223,0.5812761763101586,0.8441846857228705,0.2721076328205573,0.3397110646373851,11,-290.9608594583197,6
0,3.7901437656548578,0.5326667077544359,0.6554568618760505,0.33819121833381494,0.36057536864238104,12,-623.2126059951405,1
0,1.7834118498786715,0.5,0.5575284423299344,0.3486718534102029,0.39593741616338063,12,-206.0927354652185,2
0,1.1108983311941198,0.5,0.611407560124283,0.325284981981251,0.3757970708930135,12,-15.1092102212594,3
0,2.0139022919924665,0.5226055720436896,0.778567425630778,0.3393776593535478,0.3369116636027375,12,-154.80913825404753,4
0,2.442718259549577,0.5186118249777077,0.7398199449883013,0.3305122679811807,0.3800474058361232,12,-279.9473085043194,5
0,2.387026171019452,0.5282335646918025,0.7166022295215716,0.3460683208986484,0.37097456971122433,12,-277.834540494039,6
