,Drift Rate Speed,Drift Rate Accuracy,Self-excitation Speed,Self-excitation Accuracy,Boundary Separation,Non-decision Time Speed,Non-decision Time Accuracy,BIC,Frequency,Participant
0,1.7340973681355965,1.6752964386553253,7.903907138811572,1.9653731751583963,1.048677011286161,0.3024568070018089,0.303519591126417,85.98942386970181,5,12
0,1.7741878867942606,1.5920871844220472,6.422700778789357,2.827740775904864,1.955931170345206,0.2155482980538681,0.1558858634751213,69.48825072286482,6,12
0,2.0041743809987356,1.9100324748611122,7.728812506124924,2.075292650218415,1.0671468484471038,0.3094650273149688,0.31791373769688974,-92.8504083196689,1,13
0,1.4370068150183313,1.6510020590137644,7.229067113379944,1.5743351011556737,0.8731189914025408,0.33996007286643304,0.399791664327928,2.376831765517622,2,13
0,0.3957499271862982,0.8743115603333975,7.653758360155291,2.7156596803090265,1.1740931430832027,0.3092307773041052,0.317762525959571,239.54982839711093,3,13
0,1.4794675555017138,1.5941495548179037,6.960088134477616,1.3668725788986915,1.0547513021429453,0.31860815374194495,0.33728681528040616,72.33622710867652,4,13
0,1.9456451738474723,1.5687266661767396,5.98944273343477,1.502832180498921,1.021166784914028,0.3174534569972853,0.36464705284723153,34.70328929705341,5,13
0,1.4520150867845862,1.4434716815081388,0.6756711517584812,-0.45396903275800815,0.7182032059801511,0.3011365426669155,0.37452691973886265,102.70104146796837,6,13
0,3.1423701291073063,2.509231412786817,8.157907889311675,2.7567965948885353,1.6737196601871709,0.24151300165801098,0.2303854481094837,-303.3663975245531,1,14
0,2.218227523551057,1.7077522361790332,7.365344925686457,2.114551428828966,1.1468641885186073,0.29193012858468353,0.33047097266801617,-31.841759097570964,2,14
0,1.4610848877831992,1.3032240652135763,8.344420519649095,2.300396243190649,1.6796493315204213,0.27138003710286146,0.22388049727678055,156.0437925017723,3,14
0,1.9603398933014846,2.987876244013023,-1.8178749936931815,-9.270411807547832,0.565233849498084,0.37931104770745927,0.48374078538803544,-105.56119680114449,4,14
0,1.623221996101164,1.4826148605046687,7.0016380116825445,1.1314505558719572,1.9618355373183114,0.24592862447907587,0.12226831887616202,177.90427662021943,5,14
0,2.0270976711195363,2.210006752346449,3.550259263220079,-6.339248718936737,0.6564069972697406,0.34535681956813585,0.4655535015803297,29.91239811004275,6,14
0,2.443794128978638,2.3961421303124344,8.358090818982905,0.9790815766616815,1.064531285547401,0.318668934593923,0.3538039908873215,-202.54617616900353,1,15
0,1.7661221637916518,2.1515344649442305,7.802969514137516,2.7248514283901186,1.9152216478548065,0.2582414436230585,0.3198474310361495,-51.637360143265894,2,15
0,0.8213953177485556,1.2206253488920522,9.771984006123493,2.4652306840608214,1.4609673927408937,0.29327542682242,0.3518423555212412,133.2562232535755,3,15
0,1.8906350888567054,2.1545763747009907,8.36621518159597,0.6137957738756837,1.0005593112946727,0.33819302044214394,0.4493982406113433,-116.36646177348084,4,15
0,1.6523187938484534,1.8790920008347411,8.193531801961822,1.4858869911052754,1.3793057516941944,0.29868462506927895,0.3537447239945528,-2.828675493454263,5,15
0,2.1588200108948934,2.1871800710300766,7.914471681593115,1.6906716391257983,1.1082892062708196,0.3242720555206633,0.4102220650861691,-143.5834680436502,6,15
0,1.3109739228609214,2.50401614519628,7.707919901584612,3.287860066806223,1.5198846389146223,0.21848082748065412,0.3007769953064269,-140.5421214942673,1,16
0,1.0783276844677945,1.8315774623914067,4.529271370993289,2.1771716936812626,1.0097528670758145,0.21592733387358276,0.3978812988473059,99.07834032436526,2,16
0,0.6413407530365802,1.2603770466798163,4.890208744383751,2.689711159619065,1.2213591741986636,0.18654036094665305,0.359807065381478,263.9595072908185,3,16
0,1.049132330613885,2.0194622404362956,6.244106419934712,3.01190819842859,1.5362919606681267,0.19203167119769665,0.3497700626677203,49.844411617061816,4,16
0,0.8284289407367316,1.8884725126192972,5.61343013377866,2.009233827537592,1.3449738533968025,0.1971657906564746,0.3251304593399751,137.9218489374453,5,16
0,0.9838840099834729,1.9921421439693416,4.066397246528427,2.5582785015345264,1.1528787647399854,0.19553142745822139,0.35342803982251947,131.9914222187828,6,16
0,2.929984121592814,3.215809687594966,5.066277114036161,0.9573143914763316,1.2156626359588483,0.2734661468649845,0.3558813230665283,-319.4723306862078,1,17
0,2.5963846693644617,2.4436085751137853,6.976230397129658,2.138326266160786,1.3263317897248674,0.30303152965180014,0.36120605328316574,-215.36692121197242,2,17
0,1.837102303212898,1.8983955101771826,7.138192335611657,3.1997760097528567,1.3670223274233053,0.2898162030217264,0.3880509593775751,-16.23684020250728,3,17
0,2.0924133862863306,2.550513785624154,5.5460489123074845,2.056087661504437,1.2904225377570722,0.28094093372324186,0.4074279599984241,-143.071437089703,4,17
0,2.4534627863490654,2.2100437523158463,5.343474012104054,1.9754395969622427,1.131413709540865,0.31954206899403764,0.4066842744848672,-149.3962802678326,5,17
0,2.2103791387301706,2.25358927661704,5.36789331675518,2.6112579169422228,2.1202876094298193,0.21977930080606234,0.27451384607214036,-70.6567539074808,6,17
