,Drift Rate,x,Boundary Separation Speed,Bacc,Non-decision Time Speed,Non-decision Time Accuracy,BIC,Frequency,Participant
0,2.1449560922556867,3.0825973284878385,0.5031122735662468,3.315440139003674,0.3868459502081395,0.10487599960277116,-83.61654377865909,5,9
0,2.7165504727214094,3.105692708143571,0.5009971245365623,1.6547079983679116,0.39686059378864913,0.3255950268945524,-167.95360713599098,6,9
0,3.20866161025081,5.123979494621619,0.6752432913888251,1.6150827177375517,0.28393317221222186,0.27272204101995723,-534.0762559882617,1,10
0,2.0598847493743926,4.027855708693888,0.7175695661083092,1.1397652835874728,0.268434208127091,0.31344654358251484,-215.83385229393053,2,10
0,1.2541990098614402,5.104006939966304,0.634356579342553,1.1012337919066901,0.27698273834667114,0.32688685692660246,-50.21146789129962,3,10
0,2.286702562650739,3.095561969637949,0.6764288981819209,1.0900327137728847,0.2629733424685912,0.3128263877001597,-224.14494369234322,4,10
0,2.442742063295315,2.9041512952242066,0.6836540236876725,1.6831544391906412,0.26167630538134856,0.24958304285434463,-233.40805740279478,5,10
0,2.57944695132521,2.8366670334224118,0.6640470937910106,1.186592513567987,0.26796475613729603,0.3086480442873866,-300.45694676472453,6,10
0,3.5920148080436296,5.028502375385367,0.6021901832512788,1.152778641212704,0.33252971147154053,0.32193930170699075,-633.4971691843991,1,11
0,1.6660424969569718,7.061920494079111,0.7088162535969404,1.164935986096228,0.32647464068161847,0.3537076475572035,-224.82357877314683,2,11
0,1.187305557735634,5.516375252350126,0.5865447125772332,1.4119392881601431,0.3244718014713731,0.3078027189557266,-55.77933938575644,3,11
0,1.952270045644769,5.179101356035404,0.662259101196359,2.265603921061446,0.3279976124813174,0.24980479402299627,-192.22258989394982,4,11
0,2.3489191049134157,3.7293506564820404,0.6349577111067575,1.1567486552698023,0.32544088327409093,0.35055597827718676,-291.62337104306397,5,11
0,2.3055419607192094,3.154560006782438,0.5649948903164037,1.0172853063970804,0.3473029067663589,0.34267398339789745,-282.83486584341796,6,11
0,2.1970865619504267,3.7126395962465657,1.2265331489448297,1.1862144270837547,0.1846775944561032,0.26970714158922976,-187.3672611806063,1,12
0,1.3037180597746467,3.047962171024858,0.6213424810823192,1.1382269928621707,0.307307379642794,0.2944593168651056,58.94371186294146,2,12
0,0.6656199019355906,2.6823474133674354,0.6226478300360525,1.0206447045305245,0.27256806737073164,0.27954899314181714,242.86337531004705,3,12
0,1.4873206962744012,3.466187306268832,1.6859669849951033,1.482254945927599,0.1255118092451611,0.22698063717219785,133.5214699714032,4,12
0,1.511946780701968,3.751003316055494,1.6499896277931718,1.616016483007301,0.12653927927157071,0.24284219888374986,102.24513298963815,5,12
0,1.5951177420708882,3.0261709582785152,1.0602287493158893,2.317795193828,0.2245590966062182,0.10920645526650397,96.21463381618683,6,12
0,2.0014254565117104,2.6806057775520475,0.6768137735105202,1.3194278962964372,0.30694131364074145,0.27669609020692226,-87.72438133405365,1,13
0,1.5121502441231878,2.5902385978358864,0.6343512929323576,1.0591703217392707,0.3296806112761471,0.36421035601749263,19.22981204737203,2,13
0,0.7224011649281512,3.008452518106626,0.6561641962414058,1.3197338000991432,0.32331974204309366,0.2890566625816874,260.3604939872656,3,13
0,1.517538803795302,2.086835819039475,0.6544657707716648,1.2550270254533222,0.32311011711235993,0.29902918681205026,90.14982819465953,4,13
0,1.6795175299352925,2.2626683844810698,0.6867678371954424,1.2881476622862609,0.3222384668589482,0.32852797872791223,44.01481658275298,5,13
0,1.5377165042791616,2.762897680125056,1.0559544074247142,1.2368487524789797,0.2511375259831408,0.30867210662505923,90.51121637896811,6,13
0,2.7699637062644915,2.684574732899298,0.7686382939253202,2.0468628121873786,0.2728971140490697,0.19771948737525485,-314.44664005277616,1,14
0,1.8801544934114138,2.616438896456026,0.6708223536449154,1.4662724966527318,0.3077797551863085,0.2930871475632672,-26.30151862362765,2,14
0,1.3633578418348067,2.435481818226804,0.5863141253940247,2.25973235653759,0.33787195171846585,0.1400124724594336,156.38009567427616,3,14
0,1.9362262628277547,1.7130858872910348,0.7841188187394743,1.1358698573628043,0.3449614328278632,0.4007259651806183,-101.15133961810335,4,14
0,1.538720855585428,1.187642885476774,0.705680431446639,2.116428510339721,0.2928668569051598,0.10164203921766318,205.11879860481775,5,14
0,1.9740954415857765,-3.040285455422303,0.500988219154713,0.7907844360704779,0.34092724764660143,0.43691417769858015,45.79219510074781,6,14
0,2.3038813622993612,2.072140540781759,0.6231451673984933,1.4546720811537082,0.3197982470145261,0.30205758988666936,-189.28543562959842,1,15
0,1.8851008531489877,2.8946459846502863,0.844490454506305,1.9875977574390347,0.28159091790776264,0.29029375264651297,-19.914945900049425,2,15
0,1.0610803572155139,2.5523470986227377,0.6091073944960588,1.5079882998379222,0.3154724382080961,0.3361095448648192,183.96802028006158,3,15
0,2.011748315009175,1.5995904518839077,0.5839845995245772,1.266013143967545,0.3383953942193344,0.3991863207990912,-101.22319101097182,4,15
0,1.756587562497946,1.9270165803129105,0.6882324450778707,1.5890395347241317,0.30271358545699667,0.3166934202314713,34.79960813171725,5,15
0,2.0262285195005454,2.3209596991611527,0.6823194681553315,1.1303377462202309,0.3257453879432506,0.41140013601618647,-110.8581788865409,6,15
0,1.9267953051544215,3.4460487262513553,0.7609153041653638,1.2587792593420888,0.24526464372598983,0.32094013333821547,-122.80548906412221,1,16
0,1.4438879820409247,2.6147860251940145,0.8526325161465174,1.0474736158070366,0.2066983646266382,0.3803458372914493,114.26357476540161,2,16
0,0.9417939526117128,2.997019543101422,0.9173221910746894,1.3936954289777352,0.19562039588206032,0.3077315959837373,284.1694326137324,3,16
0,1.440842712616146,3.94412949253902,1.1807978804588197,4.051788079018024,0.18378160734501175,0.13137410785900688,90.0095956702057,4,16
0,1.2926140830734036,2.4340146355971943,0.8383598598465429,1.2327020462352394,0.20967345393527625,0.32150535170352107,187.720438549983,5,16
0,1.3743242584443927,3.140704036362925,1.1780346325892768,1.1230648326857033,0.16780942041323327,0.34531426654749997,158.20076530557435,6,16
0,2.858690011639137,3.5173674865249844,1.0440054549268671,2.933509330612737,0.2746521482375763,0.20645259670364796,-320.9170530714475,1,17
0,2.449992933933011,2.7897774686850956,0.8838344485705019,1.893685173516194,0.30080553299933477,0.2998175597264167,-197.52001416649082,2,17
0,1.8033240514164928,3.2938833330029915,0.7487574365119385,1.4767350124214627,0.312663700146125,0.3634715275638647,-16.03376315485984,3,17
0,2.3412727117703986,2.8408696725454594,0.9303351238264543,2.3879597173315217,0.2923480239790424,0.2737277715581,-143.25017916613822,4,17
0,2.2728143546525685,3.0386052984941636,0.8812056480435047,4.205068378540938,0.3138458354575199,0.11884603711213865,-146.15166064629125,5,17
0,2.1064196823726467,2.7569565815152943,1.3287965415933605,2.9243284421123574,0.21231221265706002,0.17777605466015395,-48.66584086268707,6,17
