,Drift Rate Speed,Drift Rate Accuracy,Boundary Separation Speed,Boundary Separation Accuracy,Non-decision Time Speed,Non-decision Time Accuracy,BIC,Frequency,Participant
0,4.322894102774791,2.477331600389953,0.5,0.6815976239842554,0.3685530111424511,0.4671470817987693,-222.3543896205491,5,5
0,3.457980061253264,2.447324395152895,0.6525557512556853,0.6754245708178978,0.297738518747051,0.423747524798211,-175.92102055873355,6,5
0,2.5146953197939323,2.9339779334086336,0.5602722234978251,0.6362882806869857,0.25317061747713954,0.3624596479804998,-181.19995658364422,1,6
0,1.2265814105075512,2.2073551938727185,0.5245776905527677,0.6017772945595529,0.2253594634132849,0.42443891074782303,-55.935746911405076,2,6
0,0.5879326604069699,1.54281670360936,0.5504033042213134,0.5987005831757298,0.20336623318411834,0.4270276684748547,42.31935055381504,3,6
0,1.0123358583645097,2.3809364078861592,0.5297964819791898,0.7694483603414417,0.2265360422896796,0.3849273563112188,-21.240341853754487,4,6
0,1.0118205623077445,2.2526318541760033,0.5,0.6708614809992021,0.2792667762530977,0.39179858078661894,-39.47859257264499,5,6
0,0.9787185439060108,2.6105144901863677,0.6298971107499015,0.7826225407069554,0.16358680194441633,0.34689701781093507,-16.82329335373791,6,6
0,0.6305826291305963,2.2465581745889205,0.5560075729779296,0.6945607911152218,0.171988700641528,0.2600501575264554,4.64751532398736,1,7
0,4.071570178781542e-06,1.5371721022923013,0.5,0.5956518992038927,0.24899022999696002,0.3181029468108528,14.041613513641956,2,7
0,0.0,0.7630895454018367,0.5274603064176759,0.7287626199004527,0.19505566445386247,0.20727528449645477,156.36976501922794,3,7
0,1.7620197037232936,1.5816588915283758,0.5506351844787666,0.7123929524115099,0.23992972464252538,0.3042610640951574,2.927225275996186,4,7
0,2.2783024996856036,1.3505214754709616,0.5938776589669544,0.6133811816368251,0.22710001635869825,0.3410695159274112,-26.1674663256305,5,7
0,1.8611432195584046,1.8570528089196778,0.545888975059809,0.6458608555489986,0.24933999990834738,0.3315171883637559,-47.510026418423294,6,7
0,0.6972506485202942,1.965889890100704,0.6260714468843405,0.8862689497933367,0.15767873951457828,0.40616601455034707,85.68579209143792,1,8
0,0.2414931063819717,0.9123828131079524,0.5978307378184106,0.9750887712924307,0.1671170515333571,0.3213107755002552,238.0982091949066,2,8
0,0.0,0.4191416914392138,0.6283639341802558,0.903755332029511,0.16298766766861678,0.2990297537497182,296.8329177582338,3,8
0,0.5758374632956184,1.0489642070866343,0.5991133167550261,1.0906197083488531,0.18518933259336384,0.25318191363560705,250.3309185305323,4,8
0,0.4787227327504109,1.3480648774642894,0.5744678741735736,1.3609908683910474,0.19503808682270135,0.10401916962766883,207.83074230329672,5,8
0,0.3991085741973693,1.2696213328773522,0.580860731308333,1.2603104112542807,0.21088107129913009,0.12832154311431648,214.0704074029318,6,8
0,4.22175553123837,2.669310640154599,0.5,0.7373182773235398,0.38335587901296064,0.39149690363255507,-254.47688757828715,1,9
0,2.126548416097286,1.7328150299080132,0.5,0.8955120006153889,0.38742429290784924,0.37619256062807716,-17.307704984829545,2,9
0,0.8326761456246459,1.251268266739021,0.5,0.7599368107476407,0.38583490016785704,0.4066808814046633,57.75385857994845,3,9
0,3.1018546670199068,2.0714691165247894,0.5462785185265493,0.7843813653344271,0.3718226496794268,0.41929332322014345,-122.80999139425153,4,9
0,3.066583150791249,1.7123025828381158,0.5204924799106696,1.0683564110592942,0.3885816321164912,0.22176546716321044,-59.61835701862545,5,9
0,3.2466165306648627,2.3653126708801016,0.5,0.8327044512442991,0.3962066235046352,0.40932151261350014,-162.42951898484102,6,9
