,Drift Rate,Boundary Separation Speed,Bacc,Non-decision Time Speed,Non-decision Time Accuracy,BIC,Coherence,Participant
0,0.8028629041615163,0.923773924671794,1.3138373199822615,0.3066802759548015,0.15525592082163348,491.98450474274864,10,8
0,0.9643028942182286,0.5,1.0938372095784665,0.30584019888278635,0.3426906211280332,160.20213503167557,5,9
0,1.6839792148186243,0.5,1.0559243622339622,0.28313060236145093,0.3856167317772181,11.600780579020526,10,9
0,0.4524627523260165,1.2249624487712811,1.2113099511115843,0.46330906778001624,0.47272234937517915,425.17171900136566,5,25
0,1.0315769565387722,1.37426571309255,1.5726732152265133,0.44786753332716944,0.427968294038713,378.28591480610845,10,25
0,0.08974181249508659,0.9735206238580144,1.2291631982740754,0.10131963156266266,0.1754081443333076,747.8512316692287,5,59
0,0.15962966416201702,0.9602524609482073,1.173737128538458,0.14731757220225383,0.2336753175004364,684.1354830198077,10,59
0,0.14876807544274304,0.800061692974836,0.7640634129486168,0.10201966930562634,0.13658253653971242,864.9724936992369,5,60
0,0.17679368661907233,0.8367805123120475,0.7263556871016642,0.12735772461364248,0.1561302954123679,1030.2997243515078,10,60
0,0.7055151544846054,0.7217177395084116,1.0038198778502552,0.3260286700945693,0.4597426583614576,361.2586026743449,5,61
0,1.150837973209368,0.8532881592213958,0.9671279032635338,0.21278583846832894,0.47988467302566173,292.41260431858325,10,61
