,Vspeed,Vacc,Boundary Separation,Collapse Speed,Collapse Accuracy,Non-decision Time Speed,Non-decision Time Accuracy,BIC,Frequency,Participant
0,1.348881609247709,2.119814300071945,0.6794875078247848,0.9163439281225432,0.002494205457696852,0.2739690985715066,0.3641817310233849,-229.9147411533167,2,10
0,0.6357380767398053,1.8348119601232293,0.5729969602009976,0.4428571319660666,0.049689687801489524,0.2736822779790918,0.3859751746797385,-55.277095190415444,3,10
0,2.245742389201872,2.184481176046847,0.6472252995820802,0.37489021752236185,0.004210042181138268,0.26880256353885407,0.3657588963924959,-208.2099933765109,4,10
0,2.4017698136267094,2.092407939718346,0.7820474079738697,1.0708698708078586,0.0017337842087260392,0.2592508246541269,0.34919411021987923,-231.77767073632523,5,10
0,2.6060422374101884,2.6292534622488124,0.6885938170444783,0.47945205825358195,0.0019433642065416362,0.264278051263782,0.36060708456515633,-281.22356849429366,6,10
0,3.432056143866488,4.011883967205498,0.6195075089906495,1.2608696735718399,0.21428518619752843,0.33856210128826764,0.3724000651193346,-646.3355379198123,1,11
0,1.0888341606102943,2.344764057642896,0.5481933189962924,0.5249119537120455,0.15009442068945944,0.3339117289895208,0.40015746393087614,-243.88223086964598,2,11
0,0.7888912370583835,1.329731938839144,0.5945929937148559,0.91175011889212,0.09722218777803956,0.3263281718699921,0.3835095946393746,-62.114001297400634,3,11
0,1.4832683198400118,2.1987479801536787,0.7249825090018964,0.9166656210847907,0.18045112261522092,0.3105102574077816,0.35592987082121846,-172.6637784844731,4,11
0,2.109029139682804,2.6380759821816544,0.6698883881336815,0.8606522220037146,0.056603728180726245,0.32086287315209644,0.4041615050472599,-302.4967025535193,5,11
0,2.407594161545408,2.318182840803895,0.5932899212970795,0.5058225014593184,0.005676741304536424,0.3434941747711624,0.39763229968960784,-277.8493731097999,6,11
0,1.883459495190423,2.6010389459919834,0.8816358229164281,1.0588235244889954,0.18161675347425477,0.21906489816628,0.29916928578137625,-206.19052182398383,1,12
0,1.5610165078565932,1.1628513177968205,0.6326956757769224,0.48572071901391145,6.186951769571181e-06,0.31344971613282413,0.3617910047417755,57.6310759956538,2,12
0,0.42713459701228895,0.8135438731670426,0.6642865897852434,0.6351351296113896,0.0,0.27726376755429805,0.33963979971201347,218.06242721180809,3,12
0,1.4759853655909847,1.5619050579928602,0.8148014733257689,0.16448356676295095,0.11486394074147377,0.1989803041028373,0.3056569711144739,162.92690720167593,4,12
0,1.1403329547043752,1.761839230383979,1.024345784714162,1.2937245549701297,0.14201182965019257,0.18517386493801752,0.2793122540469113,60.31533006204862,5,12
0,1.6848279909952466,1.4432416432456427,0.8979022278471744,0.7111090709756762,0.12987012855394425,0.24343427858569566,0.2645274336144851,95.57028418110394,6,12
0,1.9837945927340779,1.7517794502099393,0.7371672784709284,0.7148764601935631,5.445663948777657e-05,0.3092575525091592,0.3603816799717219,-85.1570988133791,1,13
0,1.5234041197983565,1.5494727665749282,0.6448132506914424,0.28022657053305133,0.0007550642185163436,0.338330488709803,0.4220012768917345,32.88952769664282,2,13
0,0.5524111485154415,0.7600651367092461,0.6820813882275969,0.358899912111154,0.002299440867504998,0.31403882715355025,0.3659086028603159,285.19502820355916,3,13
0,1.56490852451141,1.4760494389509007,0.7169141394580713,0.2699293044196448,0.000406043039801958,0.3159597296380474,0.39506020273377773,116.85109805734469,4,13
0,1.9381560534589735,1.4960543534484385,0.768603691056422,0.5276999699654477,9.846418855952166e-05,0.3170557490742377,0.40463704034397197,48.00049771466275,5,13
0,1.5805182948839829,1.389902085875001,0.6996649741119776,0.0009226753093720674,0.0008187083829298558,0.3016883214985397,0.38446325491958433,105.95443660335111,6,13
0,3.01513408558603,1.9435988042059962,0.818048802213895,1.0749780766963073,0.00025410239250844846,0.2756329524252501,0.33028267269835043,-300.1203530669409,1,14
0,2.0237434777040466,1.6453526638445222,0.7806534890621301,0.9069765430927609,0.0,0.2916961774766213,0.38761474770131454,-32.20656078084357,2,14
0,1.434926077819397,1.0648817840498315,0.7824119977052049,0.7793625904123225,0.0017533164471175144,0.3077067748464445,0.35832379232914696,180.01829120413046,3,14
0,2.5662258542634735,1.9225582341833392,0.7656470540727878,0.7966101688869033,0.0,0.36637582456688467,0.46874539122279707,-48.83965458272223,4,14
