,Drift Rate Speed,Drift Rate Accuracy,Self-excitation,Boundary Separation Speed,Bacc,Non-decision Time Speed,Non-decision Time Accuracy,BIC,Frequency,Participant
0,0.7460762378437685,1.5069091512194464,5.40542385254901,0.567857729239106,1.4276743932822606,0.3258218807375763,0.3093175512321408,-58.204329664800596,3,11
0,1.4724163337060758,2.345266679220318,5.38020331243804,0.6875575473521089,4.818003149213819,0.32527951668444394,0.14154880189398783,-196.91096762364086,4,11
0,2.070257277090265,2.596447588656204,3.352544501040418,0.5992492178146915,1.170811439025464,0.32568943587476934,0.3495068023056056,-288.7403630441672,5,11
0,2.3263448831571134,2.3109814412126037,3.4444367149007316,0.5749502444973089,1.0566848998360752,0.34629432891575695,0.34383511596268945,-277.0712606147622,6,11
0,2.0915216849372076,2.2808897622991626,3.620323195750512,1.1924579233316877,1.1497989998542733,0.1840066157119895,0.27312971681274767,-181.99765715565326,1,12
0,1.4676168548428963,1.2177102354044007,3.08891078271395,0.6301063732063414,1.1328455881605697,0.30828669767678873,0.29562718634229934,63.43661595050322,2,12
0,0.4486507207850172,0.7951794287666616,2.6445939317271554,0.6214137311336136,1.0190476472878731,0.2718099944942586,0.2807727282797877,245.72947105429571,3,12
0,1.407250507902303,1.5462912915960902,3.4007696840580435,1.6393550574673617,1.6092521995787146,0.12086746810905563,0.20901356979008479,138.46536367538812,4,12
0,1.3375366620170974,1.6832978260137614,3.6663670643110136,1.5975984495142468,1.6836642333479706,0.12917425286889622,0.2358729026437737,105.87800427203749,5,12
0,1.7049927017351112,1.5317770518319507,3.1599196168361314,1.0863084173576851,2.4289635855426877,0.22389116327073466,0.10869068642048396,101.06820757341828,6,12
0,1.9390701846528362,2.093237466554909,2.8341611521375105,0.6859715372777409,1.3729559207311581,0.30633289724271995,0.2773216792259679,-82.46885981266715,1,13
0,1.3977150703978347,1.582996755936373,2.5311209002834523,0.6329964938925561,1.0545047161377363,0.3298142088142574,0.36464804449343846,24.213900668989268,2,13
0,0.48516766246731174,0.867486401407455,2.9938637699027124,0.6508838472781608,1.3380146727239328,0.3284265078323154,0.2858112540241526,262.962903502737,3,13
0,1.3924026481170277,1.6113230479343803,2.2078543187758894,0.6653008327854257,1.3314897656699771,0.32051298414896345,0.29149773611297725,94.88069494416283,4,13
0,1.8442206181836405,1.5565012797159437,2.0916933359528795,0.6931731090075433,1.2033034920143049,0.3229909933777458,0.33259739292412327,48.30228394467742,5,13
0,1.6309753805685385,1.5531824112405246,2.9402290250025414,1.148608107505043,1.2645090769856866,0.2372361664951958,0.3061124251892169,96.21555455641332,6,13
0,3.0029447461675103,2.6318231696337273,2.7925655570346497,0.7848376784970599,1.9251593287138222,0.2703390620245799,0.2052967858467425,-311.9216035405724,1,14
0,2.086413460327607,1.7703914042218876,2.613387685763056,0.6865763102446731,1.4440678355715026,0.306407375039976,0.2934837354534971,-22.24344945139152,2,14
0,1.4067606837025144,1.3361115155156666,2.4361308768899703,0.5939167014498699,2.425994314260469,0.335854123419561,0.11395439675104502,162.15339679814764,3,14
0,1.851438450335752,2.0418995292223157,1.3070604760770554,0.7235601018167284,1.1295685818607248,0.35216100820811813,0.4005290695420376,-96.2702980794136,4,14
0,1.6898331218166325,1.4477968377448527,1.2399343183879865,0.7410886741477714,2.077456516102496,0.2889243143113749,0.10001386145745167,210.0541773879488,5,14
0,2.08537119070021,1.7790119256828874,-1.9392096543190227,0.5227429690664418,0.8452943290391945,0.3411302538866401,0.42225622079713626,50.96547344601582,6,14
0,2.3095101044751094,2.293075875289413,2.0051382466442256,0.6232387533217376,1.5016665881262408,0.31963507156646986,0.288037433183288,-183.4383407632692,1,15
0,1.6994258042493406,2.03626919799042,2.884382917449365,0.8315424974307164,2.098077772366255,0.2807292971818496,0.28426928128868245,-16.26328007808739,2,15
0,0.816880166615443,1.2022842348435245,2.5879895885107818,0.5969610409754331,1.5564014312587444,0.31420291994101723,0.34091405855898793,186.7370367179493,3,15
0,1.9233012022742635,2.0787238567949653,1.7604325156489404,0.5840818845570088,1.372322760647978,0.3388133839599875,0.388991799293273,-95.71254883137823,4,15
0,1.606742832118195,1.8416477981376151,1.894008103356005,0.6739332253252517,1.6324608846120343,0.30131863573430157,0.31217986345635634,39.504567639342454,5,15
0,1.963646960941536,2.0796096579010963,2.225300589888008,0.6560420433564245,1.1347619237350157,0.32816546525124324,0.41288786637082786,-105.09775999407263,6,15
0,1.477518169396182,2.5079695389911314,3.325208769716475,0.7281750402468163,1.6062168817735545,0.24677267115956947,0.28817370819569266,-134.02431950952445,1,16
0,1.1059718723613186,1.79261326804972,2.7763915498124145,0.858013271787049,1.1855250672850755,0.20763624859620206,0.363398114181525,109.38488564058079,2,16
0,0.679595100551749,1.2016724163394235,3.007810823924179,0.8957891829646747,1.3750496111396333,0.19822819690029359,0.3256025917319627,282.65374465383275,3,16
0,1.0594148288218044,1.8821749026797687,3.8722328844597675,1.1930149451851308,2.5025567960777,0.17457973079756894,0.2558270117271723,80.22601068255943,4,16
0,0.8289724322534326,1.826982308245413,2.7082975425684173,0.875338977073306,1.5566415337039028,0.2005707519562166,0.3034647371514942,171.18355552511272,5,16
0,0.9430631624136893,1.9500389183049311,3.1898046647650182,1.1645460554600287,1.4506946327967332,0.15926432826463255,0.3140449514478293,142.52087917900914,6,16
0,2.710195061081333,2.7649807132000803,3.5386631458206153,0.982148866027222,3.1729358083193837,0.28460372312260745,0.18869702612411166,-315.24414044848476,1,17
0,2.5616730186885017,2.344623355873277,2.6995840048381905,0.8972163478080182,1.734611170174996,0.2991948894898987,0.3093721714157484,-192.61832793228177,2,17
0,1.7152341480186641,1.8719546529347315,3.2899623301992156,0.7371383985090825,1.5001896606376013,0.3137613136506184,0.36238841053519444,-10.755503798321527,3,17
0,2.071335897265747,2.608811796899265,2.7759803506532785,0.8929433587875604,3.4068641373054174,0.28990233002908894,0.19083431626213865,-140.9938295391102,4,17
0,2.39463097456514,2.213064669936704,2.654065524740995,0.8363451691591579,1.7474421445024757,0.31825902998535405,0.32484596836369284,-144.75646336837104,5,17
0,2.1596145579345256,2.057035113226358,2.839784777151758,1.3945528238008786,3.0033920916170658,0.20723763914454013,0.17392091945584032,-43.10829922290272,6,17
