,Drift Rate,x,Boundary Separation Speed,Bacc,Non-decision Time Speed,Non-decision Time Accuracy,BIC,Coherence,Participant
0,0.2655095356702565,1.3020511811265045,2.4580112218608248,1.9601951209603015,0.11206318031560747,0.4499477754224035,357.90524672305105,5,26
0,0.42424329353848217,1.0991907529725398,2.109119908996352,1.8677936595495588,0.10909899624019215,0.5098533588622683,366.5232532680282,10,26
0,0.0,1.1199545846113197,1.113478643651875,1.1700454404918932,0.10143978767645512,0.39682844337776724,592.7131868322709,5,27
0,0.1104585232790438,1.5020347197673432,1.2693859865371442,1.620968430164011,0.10415912193146998,0.2860167410596545,612.5951054541065,10,27
0,0.8909008488632585,0.39970819151502934,1.127248012041529,1.1422993712498561,0.34289098874531265,0.4653735352069005,415.6865062027349,5,29
0,1.2757895029818562,1.0762352404903042,1.086997574989609,1.5021801826558026,0.3475376762432698,0.38294898861714183,318.3446881024892,10,29
0,0.08134361153004666,0.74388067336283,0.5363404657508943,0.8731642777712079,0.1542727047707385,0.10244820033993784,721.051512681973,5,2
0,0.18288083271407246,-0.4789378735270397,0.5432879014554466,0.7842830229658535,0.10775887376929866,0.12939423858956944,1510.5034781586774,10,2
0,0.637422587787337,0.8201673684586277,1.3154387408499275,1.313298685938944,0.4238331728153413,0.3789191102128562,499.76776177293203,5,30
0,1.55138949650174,-2.950100521528818,0.7725905962879684,0.7075869219702531,0.5043979513785694,0.5206200909417436,271.49043745384336,10,30
0,0.5814112557722506,0.1652242642573875,0.8733034957188672,0.9531517071739888,0.2619826326873402,0.34387427084454036,609.1124060185746,5,31
0,1.3368037560756296,-0.015657658880498117,0.9001828430175474,0.8915032929280096,0.28283633989963214,0.34660782381750943,284.71419024348563,10,31
0,0.6774627770302666,0.9968004177309344,1.8283113459421214,1.6356241424993287,0.2544062429437829,0.3060284324218002,479.6867416427719,5,32
0,1.1178926371768205,1.0132239247549515,1.1576247000654294,2.151078543185813,0.4116246995948201,0.12959841670433148,382.30120702459084,10,32
0,0.0,0.9836726015028909,0.9587016387237446,2.255982007022799,0.10813514798982238,0.11800165953377773,430.63438040244887,5,33
0,0.0,0.38095908304532805,0.9086939691573264,1.3879499486526439,0.10169141822940236,0.2670182046800369,666.5738593464246,10,33
0,0.9357165656010813,1.62226265516608,0.83224443003372,2.992491397926983,0.3718188607270345,0.16194632123936836,375.8063715941337,5,34
0,1.8675221095529915,1.446296967698556,0.7262569181822505,2.2286818797750194,0.4097990709960981,0.318964653967586,95.19185682408157,10,34
0,0.17393719658974205,1.4574149119270343,2.0241002649221933,1.7489723794783685,0.10175745791583884,0.3097117185782866,582.4853974891624,5,35
