,Contrast,SAT,participant,Drift Rate,Boundary Separation,Non-decision Time,Self-excitation
100,5,4,4,3.5662280303255285,7.844534248775869,0.18655435277840798,14.796510534830668
101,5,5,4,3.6510300483916653,1.0583799514139876,0.3083697288003928,6.394775150114321
102,1,1,5,0.10295924688488434,0.8223453670491563,0.10055824559027288,11.421274495099471
103,1,2,5,0.0074232890507613765,1.6293292383868643,0.10938819224323632,11.796379183794615
104,1,3,5,0.5463882427629335,7.619111770428725,0.10170205633733781,13.698831311101019
105,1,4,5,0.6445046538642647,3.223662972283196,0.10310684492389982,6.9869992128616145
106,1,5,5,0.6584126333726851,1.2140686362420805,0.2699962526952482,5.294693454802127
107,2,1,5,0.025035357787386747,0.8174025509595921,0.10285200903820013,11.385108070908135
108,2,2,5,0.13920448883619954,1.3081625368272607,0.15100787876666216,15.0
109,2,3,5,0.509350829119918,4.184213157343813,0.10518052294959968,10.825038552255155
110,2,4,5,0.8474160613503167,3.350511737420305,0.14421857633220259,7.955951713046186
111,2,5,5,0.8577050926802151,1.2160321944037173,0.24652697587257988,4.874422803238289
112,3,1,5,0.11545970853335774,1.0699481715246728,0.10080457409797755,14.458074279147775
113,3,2,5,0.382492710816289,2.784273256354052,0.10347957257600487,14.710198079629793
114,3,3,5,0.7375995024306595,6.292100184375647,0.1125193887163542,12.834136040553458
115,3,4,5,1.3677383236801863,1.801626209114783,0.23683598977488435,8.95601381438105
116,3,5,5,1.2814119150648038,0.9226346344416982,0.27733356306430906,4.7527039767471155
117,4,1,5,0.0,1.2071571010937423,0.1060441875903998,15.0
118,4,2,5,0.24800364657173948,1.6511081847196896,0.10949646929633827,12.508097969906625
119,4,3,5,1.3622260702240276,0.7829310358091841,0.23916037101049986,9.994415829005836
120,4,4,5,2.271643719388008,3.6620265782736094,0.18366623663986342,10.215334215868781
121,4,5,5,2.512062836060753,1.1345343312282195,0.28483650748873685,4.927440918967179
122,5,1,5,0.30755228253011274,1.1237731078350102,0.10076695452828555,15.0
123,5,2,5,0.6853314850697871,1.8380083228979962,0.13879734272425104,14.445960345857058
124,5,3,5,1.4412344284260548,5.22854421166261,0.14935835947031945,15.0
125,5,4,5,2.3647327489475853,1.0597845679513185,0.24538557604659644,5.538239222210813
126,5,5,5,2.8643541322423984,0.9058768649340867,0.3012507241926204,5.153399346985398
127,1,1,6,0.010786005284728617,1.0626227016042011,0.1018587006975833,11.49421595176127
128,1,2,6,0.5095491136813634,3.9369730676627155,0.10362669643503025,11.40642660871664
129,1,3,6,0.8155848979152708,7.995237376111745,0.14250555342475246,12.133619597895526
130,1,4,6,0.8797964670315612,2.467222062495204,0.24773163598653059,9.658379014727291
131,1,5,6,0.43652442092676175,0.8647017996064186,0.2927675710401412,3.586848415513457
132,2,1,6,0.11150425140745313,0.8109803120461567,0.10534792171048252,8.471261673123976
133,2,2,6,0.3771050593035093,6.322668473069129,0.10823209426843794,13.357391081610839
134,2,3,6,1.3915197680336233,7.889391219039624,0.19943646070378257,14.630883736496404
135,2,4,6,1.585003486786248,1.3886240106284387,0.27915675936920675,8.343149151131291
136,2,5,6,1.1283379927848707,7.9791369548293325,0.11219924261164455,9.0202876321772
137,3,1,6,0.43390606807352594,1.4479342850267791,0.100517776588047,15.0
138,3,2,6,0.787096100149656,4.78257096187418,0.10312389003151418,11.961127020312833
139,3,3,6,2.024726142142709,7.232443186193899,0.1528885282430063,11.716313659566426
140,3,4,6,2.4780015393309203,7.467668905125873,0.16458634221085622,10.142318586717622
141,3,5,6,2.67132687612169,1.071133639199711,0.32905879511707214,6.49596236768327
142,4,1,6,0.41345745245740906,0.815069022512426,0.1426559806521358,14.970261910341367
143,4,2,6,1.0073623173287738,3.434258114596699,0.10074232968183072,10.708023224846967
144,4,3,6,3.425575023629443,7.7049623376338285,0.17555303101322678,11.96729519250239
145,4,4,6,3.038151889424894,0.6515994129192118,0.3459476267757976,4.180733072265742
146,4,5,6,3.2418774375225707,1.248619828266147,0.3160716119128444,6.714466844580313
147,5,1,6,0.2221253183609819,0.8442538186965902,0.14274822119693875,15.0
148,5,2,6,1.38129005209516,0.9213089867612125,0.1761639431359956,6.872414305584388
149,5,3,6,3.4831778175230115,7.968017269401617,0.17696045086894852,12.627608086627486
150,5,4,6,4.084392376851284,1.316852026213057,0.3004783621865431,6.646047726042234
151,5,5,6,4.127942900825032,1.4405172354759497,0.31693967340562595,6.748482470202353
152,1,1,7,0.2154341677446862,0.8083865891825517,0.1070606026090784,15.0
153,1,2,7,0.0,7.541455367014594,0.11671470559447616,15.0
154,1,3,7,0.7621800142917105,0.5757507960420059,0.39942029285105757,15.0
155,1,4,7,0.8697910800221783,3.844722374409778,0.36635771804727857,15.0
156,1,5,7,0.74329220624606,7.761170506233575,0.3856132904232572,12.4628087806858
157,2,1,7,0.0,0.7853386684462818,0.10270860527687131,15.0
158,2,2,7,0.377599834238419,4.685895033567381,0.15176355010420378,15.0
159,2,3,7,0.986298849272727,1.5946559055046592,0.33306618440276203,15.0
160,2,4,7,1.310434300036464,7.685954651718257,0.32629911406849377,15.0
161,2,5,7,1.4934414854644265,7.943365065689468,0.4119696888602415,14.07119254486258
162,3,1,7,0.0,0.8550050857325817,0.10485773070666593,15.0
163,3,2,7,0.9343599818354088,7.967722369213067,0.11805718514310565,15.0
164,3,3,7,2.5461114169744294,1.5152963882369814,0.34390374612056085,15.0
165,3,4,7,2.2347656536621257,2.5623514034198016,0.3917008796440964,15.0
166,3,5,7,1.6758639093064902,2.375277196488012,0.4116102298938191,8.474050365836653
167,4,1,7,0.21159270155191215,0.8230174116430349,0.10366785663442307,15.0
168,4,2,7,1.8030988322842183,5.939923626366765,0.13119450672429445,15.0
169,4,3,7,2.499059611620669,2.6287695589421007,0.3031004932855923,15.0
170,4,4,7,4.016337996926863,7.885884249280251,0.33293742083759303,14.781443052392747
171,4,5,7,2.7567816424857345,7.903421446217989,0.36847724080546596,11.450595077964747
172,5,1,7,0.018738235542441473,0.6913397024373769,0.10114213930853155,12.78395916776145
173,5,2,7,1.7105725313873597,6.902991268619832,0.12355497850751257,15.0
174,5,3,7,3.8625101697512734,7.989099840061453,0.238362484307995,14.91206649070617
175,5,4,7,5.866422018067955,7.941837370252662,0.3511055006276145,14.32061529204774
176,5,5,7,4.584850210378623,6.938439425036346,0.3393872920344213,7.0767566428672914
177,1,1,8,0.0026261179173929783,1.7925101330048552,0.15791400294516877,14.464529876497888
178,1,2,8,0.340378965621583,5.170420733886588,0.10719171131057353,11.371117835433317
179,1,3,8,0.40945370669526143,7.99732150029032,0.1071699376215976,12.279752144805322
180,1,4,8,0.026143081509342556,4.440960628830304,0.10135471156022535,9.011612169825119
181,1,5,8,1.0396639539934385,0.7493739494779619,0.3973991483075713,6.625568128828711
182,2,1,8,0.0,2.6838578110880906,0.11873393676296728,11.648906679611482
183,2,2,8,0.7748336883999217,3.44978771632388,0.10767847968250027,8.944142193411421
184,2,3,8,0.6453402298775321,0.6252558777830908,0.2621941241670834,5.803187612971012
185,2,4,8,0.0,4.845346271429551,0.1034915519203709,10.12064025270514
186,2,5,8,0.7124804783593813,7.976024743370349,0.16822632683810412,9.999540847725477
187,3,1,8,0.14876345142560712,3.711748786659751,0.1059789123794786,14.366731143281037
188,3,2,8,0.1275116684274278,4.5713211277596955,0.1072733902332424,11.175134602653687
189,3,3,8,0.6621705503077088,7.940852178271567,0.10725653820775433,10.143679232468271
190,3,4,8,1.2339362507435039,0.6762070711628771,0.22447157234032583,2.7544996904418975
191,3,5,8,1.0125937022596738,3.1095201880667087,0.31434386636594275,12.651977021765147
192,4,1,8,1.4674390934582728,0.5922845495439546,0.2240319587345772,10.770168996512428
193,4,2,8,0.8705272109410084,4.530894343437639,0.10112487226303118,9.963149918177532
194,4,3,8,1.8912265807394282,0.516906079813813,0.3382714384076745,5.747685377905409
195,4,4,8,1.7176841159738137,0.5880856074557155,0.2948357787305524,5.156693280577442
196,4,5,8,2.6033861107959884,4.561189511660383,0.10830519839849029,5.401050874570604
