,v,a,k,ter
83,2.1964038985344123,4.134012831763431,2.940651382748293,0.4351431429721224
84,4.268370066675493,6.915046343586809,3.3092668438438713,0.8818711263233628
85,1.3037011560189704,3.4738035365986897,7.354654426364753,0.43501768790186235
86,5.56102151763649,2.050539299289497,3.9014938347520354,0.2904287075863811
87,4.103039075570094,3.2941491110281853,6.932991290328318,0.952225052537257
88,6.0,5.333013120168908,8.87345560773005,0.6314609077415314
89,5.1073213946286105,1.6409501024865323,4.978762533100437,0.7223400118704765
90,5.070362045489751,0.8773046226267947,5.968315619807067,0.21695088518295486
91,1.7718417937217599,7.70722226945025,3.5484510737614645,0.1519174720104265
92,3.0019271647025256,3.4784794130475545,1.014315069561539,0.34777017512016917
93,5.898928633702185,1.3515148462569306,9.518356379237375,0.5854289163148582
94,1.1625249476410133,3.8735193481840056,1.243051275107829,0.23619621765167287
95,3.327118986701758,5.420223376390776,5.377565676204345,0.37584104334281854
96,1.8923810289749106,7.366769610580138,8.862487573838626,0.7590884273501262
97,2.2023985987392085,1.052694904261974,0.9607077554541841,0.9610220369402682
98,2.8887636613645964,5.261170519312166,4.4839177179663166,0.6413901031405256
99,3.8998751231760407,7.052157326179726,6.151983673815149,0.6146026836331528
